jp	en	category	source	note
攻撃	Attack	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (menu line)	PROPOSED for this menu context (the word itself is already established elsewhere as the "ATTACK" combat stat/command — same English word, different UI layer, no conflict).
ボディランゲージ	Body Language	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Non-verbal communication sub-menu (used when the CO translator device malfunctions).
絵を描く	Draw a Picture	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Same non-verbal sub-menu as Body Language.
念じる	Concentrate	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Same non-verbal sub-menu (telepathy attempt).
あきらめる	Give Up	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (multiple menus)	PROPOSED. Recurs across several different sub-menus as a "give up" bail-out option.
武器を置く	Lower Weapon	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw menu; narrative precedent in MS6007/6008 ("武器を置くのが礼儀というものじゃぞ")	PROPOSED. Sub-menu ("武器を置く / 近づく / 両手を上げる").
近づく	Approach	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (same menu as Lower Weapon)	PROPOSED.
両手を上げる	Raise Hands	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (same menu as Lower Weapon)	PROPOSED.
ごまをする	Flatter	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002; tools/dumps/untranslated_choices.txt	PROPOSED. Sub-menu ("ごまをする / 話を聞く").
話を聞く	Hear Them Out	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002; tools/dumps/ID_choice_menus.txt	PROPOSED.
おだてる	Butter Up	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6002, MS6004	PROPOSED. Distinct option from ごまをする("Flatter") even though both are flattery-flavored — keep as two different English verbs to preserve the distinction the game makes.
貢ぐ	Offer Tribute	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002, MS6004, MS6012 (frequent)	PROPOSED.
食べ物をやる	Give Food	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw, MS6006	PROPOSED.
事実を告げる	Tell the Truth	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6015, MS6016, MS6106	PROPOSED. Sub-menu ("事実を告げる / 適当にごまかす").
適当にごまかす	Make an Excuse	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6015, MS6016, MS6106; tools/dumps/ID_choice_menus.txt	PROPOSED.
成仏させる	Put to Rest	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6006, MS610B, MS610D	PROPOSED. Ghost/undead-specific menu ("成仏させる / 用を聞く").
用を聞く	Hear Its Request	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS610B	PROPOSED. Same ghost-specific menu as Put to Rest; shorter alternate "Hear It Out" if space is tight.
様子を見る	Wait and See	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6004, MS6006, MS610C, MS610D (very frequent, generic)	PROPOSED. Generic "observe" option recurring across many personality files.
肉をあげる	Give Meat	negotiation-verb	tools/dumps/ID_choice_menus.txt / untranslated_choices.txt ID0099, ID014E	PROPOSED. Animal/dog-type menu ("肉をあげる / 骨をあげる").
骨をあげる	Give Bone	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED.
やめる	Cancel	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw menu, general	PROPOSED. Generic "stop/cancel" option across various menus.
そこを何とか	Just This Once	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID00BB, ID00BC, ID014E; MS6103	PROPOSED. Gatekeeper-NPC menu (asking to be let through).
意地でも通る	Push Through	negotiation-verb	tools/dumps/ID_choice_menus.txt ID00BB, ID00BC, ID014E	PROPOSED. Same gatekeeper menu, forceful option.
お願いする	Beg	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED. Same gatekeeper menu.
土下座して頼む	Grovel	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED. Same gatekeeper menu, most extreme option (literally "beg on your knees, forehead to the floor").
お菓子をあげる	Give Candy	negotiation-verb	tools/dumps/ID_choice_menus.txt ID00C1	PROPOSED. Separate menu, likely a child-like/sweet-toothed demon type.
桐子	Kiriko	character	m/MS0067.BIN, m/MS0068.BIN (4 speaker-tag instances)	Coined romanisation. Speaker tag "Kiriko:".
ベリス	Berith	character	m/MS0024.BIN (3), p/_P_NAMES	Coined: the demon lord Berith (standard Goetia spelling), not a phonetic "Beris".
ピャンカラ	Priyankara	character	m/MS0024.BIN (33), m/MS0064.BIN (16), p/_P_NAMES	Coined: restored to the Buddhist demoness's Sanskrit name Priyankara rather than a phonetic "Pyankara".
ハリティー	Hariti	character	m/MS0064.BIN (61), m/MS0024.BIN (2), p/_P_NAMES	Coined: the Buddhist deity Hariti (Kishimojin), paired with Priyankara in the MS0064 arc.
ハツセオノミコト	Hatsuseo-no-Mikoto	character	m/MS000F.BIN (10)	Coined: hyphenated -no-Mikoto form, matching Ama-no-Sakugami and Yomotsu-Shikome.
黄泉醜女	Yomotsu-Shikome	character	m/MS000F.BIN (25 speaker-tag instances)	Coined: hyphenated, capitalised on both elements.
ルイ・サイファー	Louis Cypher	character	m/MS0065.BIN (2), m/MS006A.BIN (1)	Series-standard SMT rendering of the Lucifer pun; heads the cybernetics research area.
樹海	Jukai	place	m/MS0015.BIN (27), m/MS0061.BIN (9), p/_P_NAMES	Coined: left untranslated as a proper place name (the Sea of Trees) rather than glossed.
母なる金星	Mother Venus	place	m/MS0026, MS0067, MS0018, MS006A, MS00B5.BIN (37)	Coined: the Ginza religious organisation, rival to the Baal cult. Also used as its building/district name.
臨海コロシアム	Waterfront Colosseum	place	m/MS0008.BIN	Coined: the ruined Ariake venue.
恵比寿ガーデン	Ebisu Garden	place	m/MS0035.BIN (4), m/MS0009.BIN, m/MS006A.BIN	Coined: real-world Ebisu Garden Place, kept short.
ＭＹＣＩＴＹ	MYCITY	place	m/MS0019.BIN 0:0C	Coined: kept in full caps as a proper name (the Shinjuku station building).
聖城学園	Seijou Academy	place	m/MS0014.BIN	Coined: romanised reading + "Academy".
反魂香	Reviving Incense	item	m/MS003F.BIN 0:04	One of the eleven incenses burned at the MS003F kiln.
物夫の香	Warrior's Incense	item	m/MS003F.BIN 0:05	One of the eleven incenses burned at the MS003F kiln.
天の香	Heaven's Incense	item	m/MS003F.BIN 0:07	One of the eleven incenses burned at the MS003F kiln.
心魂の香	Soul Incense	item	m/MS003F.BIN 0:08	One of the eleven incenses burned at the MS003F kiln.
魔性の香	Sorcerous Incense	item	m/MS003F.BIN 0:09	One of the eleven incenses burned at the MS003F kiln.
学人の香	Scholar's Incense	item	m/MS003F.BIN 0:0A	One of the eleven incenses burned at the MS003F kiln.
精進の香	Devotion Incense	item	m/MS003F.BIN 0:0B	One of the eleven incenses burned at the MS003F kiln.
疾風の香	Gale Incense	item	m/MS003F.BIN 0:0C	One of the eleven incenses burned at the MS003F kiln.
職人の香	Craftsman's Incense	item	m/MS003F.BIN 0:0D	One of the eleven incenses burned at the MS003F kiln.
貴人の香	Noble's Incense	item	m/MS003F.BIN 0:0E	One of the eleven incenses burned at the MS003F kiln.
運の香	Luck Incense	item	m/MS003F.BIN 0:0F	One of the eleven incenses burned at the MS003F kiln.
ラビスシジル	Rabis Sigil	item	m/MS0010.BIN	Coined: quest item, "the Rabis Sigil tablet".
八咫鏡	Yata Mirror	item	m/MS000F.BIN	Coined: the Yata no Kagami of the imperial regalia, shortened for the message box.
キャンディーナンディー	Candy Nandy	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu; keeps the JP rhyme.
エンジェルティー	Angel Tea	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu.
キキーモラミルク	Kikimora Milk	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu; demon-named.
ブラウニークッキー	Brownie Cookie	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu; demon-named.
レギオングミ	Legion Gummy	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu; demon-named.
トゥルダクカルシウム	Trudak Calcium	item	m/MS6013, MS6014, MS6015, MS6016.BIN	Candy offered in the お菓子をあげる negotiation menu.
ハーゲンガッツ	Haagen-Gutts	item	et/ID00C2.BIN, et/ID00C3.BIN	Parody brand (Haagen-Dazs). Coined to keep the parody legible in English; no umlaut, cp932-safe ASCII.
バリバリ君	Bari Bari-kun	item	et/ID00C2.BIN, et/ID00C3.BIN	Parody brand (Gari Gari-kun ice lolly). -kun kept, per the honorific rule.
ペンタグランマ	Pentagramma	organisation	m/MS0000, MS0004, MS005B, MS005D, MS002C.BIN and 20 more (118 instances)	RESOLVED (2026-09 editorial pass): proper noun for the resistance faction. "Pentagram" (93) and "Pentagrammar" were rewritten to "Pentagramma"; every occurrence in the corpus refers to the faction, none to the five-pointed star.
レジスタンス	Resistance	organisation	m/MS005A, MS00B1, MS0019, MS005D, MS00B0.BIN (45)	Capitalised when it names the movement Pentagramma belongs to.
飛び道具	Ranged Weapon	ui-term	m/MS001C, MS0024, MS002A, MS001A, MS002B.BIN; pool call {03:00}	Coined: the battle-menu weapon class.
切り	Slash	ui-term	m/MS002A.BIN, m/MS002E.BIN; pool call {03:12}	Coined: the battle-menu attack type.
上位者	the Elevated	term	m/MS0024.BIN (3)	Coined: the Millennium cult's upper rank, admitted to Maitreya's floors.
悪魔人	Demonoid	term	m/MS0008.BIN (14), m/MS0063, MS0067, MS0069.BIN (15, formerly "Tainted")	RESOLVED (2026-09 editorial pass): 悪魔人 had three renderings - "Demonoid:", "Tainted:" and prose "demon-man". The speaker tag is now "Demonoid:" everywhere (it is also the word the characters use of themselves in dialogue: "Demonoids are pretty much everywhere"). Descriptive prose in m/MS005C.BIN still reads "demon-man"/"demon-woman"; left as narration wording, flagged for a future pass.
お兄ちゃん	Onii-chan	term	m/MS000E.BIN (14), m/MS0031.BIN (2)	Kept romanised, consistent with the -kun/-chan honorific rule; used as a form of address by child NPCs.
