# et/ET0004.BIN -- rebuilt by `python -m giten etdb`
# Edit the en_* cells.  Leave one empty to keep the Japanese.
# index	jp_name	en_name	jp_desc	en_desc	status	note
278	分身	Doppelganger	分身を作る	Makes a double	draft	
279	蛇走り	Snake Run	蛇のように走る鞭	A whip＠ that runs like a snake	draft	
280	蛇の舞	Snake Dance	蛇のように舞う鞭	A whip＠ that dances like a snake	draft	
281	フロッグタン	Frog Tongue	バエルの舌攻撃	Bael's tongue attack	draft	
282	サイコブラスト	Psycho Blast	ＭＰにダメージ	Damages MP	draft	
283	バッドドライヴ	Bad Drive	精神攻撃で、幻覚を見る状態にさせる	A mental attack＠ that brings on hallucination	draft	
284	モルト召喚	Summon Molt	凶鳥モルトを召喚	Summons the ill bird Molt	draft	
285	腐乱の矢	Rotting Arrow	猛毒で腐乱矢	A rotting arrow of venom	draft	
286	不治呪縛	Endless Curse	回復系魔法をダメージに変える	Turns healing magic＠ into damage	draft	
287	貫く矢	Piercing Arrow	２体にダメージ	Damages two foes	draft	
288	五月雨矢	Rain Arrow	全体にダメージ	Damages every foe	draft	
289	火炎牙	Flame Fang	炎の咬みつき	A bite of flame	draft	
290	バーニング	Burning	自ら燃え、相手全員にダメージ	Burns itself＠ to damage every foe	draft	
291	女神の微笑み	Goddess' Smile	男性をすべて魅了する微笑み	A smile＠ that charms every man	draft	
292	煉獄刃	Purgatory	炎の剣	A sword of flame	draft	
293	ヴェノムブロー	Venom Blow	毒の尾による一撃	A blow from a poison tail	draft	
294	槍雷	Spear Thunder	雷の槍の一撃	A blow＠ from a thunder spear	draft	
295	断頭剣	Beheader	一撃必殺剣	A one-blow killing sword	draft	
296	一の槍	First Spear	必殺の槍攻撃	A deadly spear attack	draft	
297	天鎚	Heaven Hammer	天からの落雷攻撃	A lightning strike＠ from the heavens	draft	
298	十言神咒	Ten Word Spell	天照大御神の力	The power of Amaterasu	draft	
299	シザーハンド	Scissor Hand	巨大なはさみによる切り裂き攻撃	A rending attack＠ with huge shears	draft	
300	白犬の舌	White Tongue	白い犬の攻撃	A white dog's attack	draft	
301	黒犬の舌	Black Tongue	黒い犬の攻撃	A black dog's attack	draft	
302	茨の鞭	Thorn Whip	棘のある鞭	A thorned whip	draft	
303	黄金の手	Golden Hand	触れる物を金に変える黄金の手	A golden hand＠ turning what it touches to gold	draft	
304	超羽ばたき	Super Flap	想像を絶する魔力をはらんだ翼の風	A wing-wind＠ laden with unimaginable magic	draft	
305	テンペスト	Tempest	瞬間的に嵐を引き起こす	Raises a storm＠ in an instant	draft	
306	サクリファイアー	Sacrifire	炎に焼き、ＨＰを奪う	Burns and drains HP	draft	
307	聖王剣	Holy Blade	ＭＰを奪う、聖王剣	A holy king's sword＠ that drains MP	draft	
308	アクアピラー	Aqua Pillar	水圧で押し潰し、窒息させる	Crushes with water＠ and suffocates	draft	
